,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,Data,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,HRK,THB,XAU,XDR
1,12.01.2024,3.0382,2.5427,3.3963,5.3151,0.2017,0.6669,0.1468,4.9731,5.7867,1.3107,3.1262,0.2551,0.4413,1.1411,0.0515,0.4417,0.1514,4.5371,0.2436,0.9317,0.6331,0.0547,0.3457,0.2689,2.8328,0.0424,0.1199,1.2353,,0.1294,298.1008,6.0664
2,11.01.2024,3.0414,2.5423,3.3909,5.3251,0.2017,0.6668,0.1468,4.9723,5.778,1.3107,3.1179,0.2561,0.439,1.1433,0.051,0.444,0.1506,4.5351,0.2433,0.9269,0.6332,0.0546,0.3445,0.2667,2.8335,0.0424,0.1193,1.2348,,0.1293,296.2584,6.0634
3,10.01.2024,3.0465,2.5423,3.3973,5.3298,0.2023,0.6668,0.147,4.9724,5.7778,1.314,3.1348,0.2564,0.4393,1.1456,0.0509,0.4438,0.1517,4.5418,0.2437,0.9255,0.6336,0.0547,0.3445,0.2677,2.8351,0.0424,0.1189,1.2366,,0.1298,297.2891,6.0699
4,09.01.2024,3.045,2.5419,3.4013,5.3431,0.2022,0.6666,0.1471,4.9715,5.7852,1.3126,3.1568,0.258,0.4386,1.1464,0.0507,0.4435,0.1518,4.546,0.2438,0.9334,0.6347,0.0547,0.3445,0.2702,2.8394,0.0424,0.1189,1.2377,,0.13,297.6556,6.0767
5,08.01.2024,3.042,2.5421,3.3949,5.3402,0.2027,0.6666,0.1471,4.972,5.7747,1.3169,3.1471,0.2576,0.4379,1.1419,0.0502,0.4425,0.152,4.544,0.2431,0.9321,0.6346,0.0547,0.3447,0.2692,2.8294,0.0424,0.1188,1.2372,,0.1299,296.2069,6.0735
6,05.01.2024,3.0455,2.5433,3.4089,5.3439,0.2018,0.667,0.148,4.9744,5.7711,1.315,3.1395,0.2577,0.4409,1.1434,0.0501,0.4436,0.1531,4.5599,0.2424,0.9311,0.6373,0.0548,0.346,0.2678,2.8323,0.0424,0.1197,1.2416,,0.1313,298.8448,6.0853
7,04.01.2024,3.0561,2.5426,3.4058,5.3416,0.2017,0.6667,0.1469,4.973,5.7685,1.3105,3.1499,0.2595,0.4407,1.1434,0.0497,0.4433,0.1525,4.5395,0.2435,0.9226,0.635,0.0545,0.3468,0.267,2.8374,0.0424,0.1192,1.236,,0.1317,298.7471,6.0716
8,03.01.2024,3.0693,2.5427,3.4127,5.3351,0.2016,0.6669,0.1471,4.9731,5.7426,1.3054,3.1896,0.2586,0.4381,1.1377,0.0496,0.4444,0.1528,4.5504,0.2431,0.9241,0.6367,0.0546,0.3475,0.2668,2.8452,0.0424,0.1196,1.239,,0.1324,300.6318,6.0831
9,29.12.2023,3.0588,2.5434,3.3913,5.3666,0.2013,0.6675,0.1454,4.9746,5.7225,1.2995,3.1735,0.257,0.4428,1.1444,0.05,0.4492,0.1528,4.4958,0.2429,0.9265,0.6322,0.054,0.346,0.265,2.8384,0.0425,0.1182,1.2241,,0.1309,298.2747,6.0432
10,28.12.2023,3.0616,2.5438,3.3838,5.3438,0.2015,0.6674,0.1447,4.9753,5.7227,1.3015,3.1769,0.2573,0.4423,1.1471,0.0494,0.4504,0.152,4.4726,0.2405,0.9265,0.6298,0.0538,0.3476,0.2654,2.8361,0.0425,0.1175,1.2178,,0.131,298.4998,6.028
